,id_site,t,sens,nb_usagers,label,trajectoire,voie,id_trajectoire,coordonnees_geo,mode
0,10004,2023-05-17T23:00:00+00:00,O-E,1,[Paris] Rivoli x Nicolas Flamel,3 -> 2,Coronapiste,10004_3 -> 2,"[48.858273, 2.349109]",Vélos
1,10004,2023-05-18T00:00:00+00:00,E-O,48,[Paris] Rivoli x Nicolas Flamel,4 -> 2,Coronapiste,10004_4 -> 2,"[48.858273, 2.349109]",Vélos
2,10004,2023-05-18T00:00:00+00:00,E-O,13,[Paris] Rivoli x Nicolas Flamel,4 -> 2,Coronapiste,10004_4 -> 2,"[48.858273, 2.349109]",Trottinettes
3,10004,2023-05-18T02:00:00+00:00,O-E,34,[Paris] Rivoli x Nicolas Flamel,1 -> 1,Piste cyclable,10004_1 -> 1,"[48.858273, 2.349109]",Vélos
4,10004,2023-05-18T02:00:00+00:00,E-O,2,[Paris] Rivoli x Nicolas Flamel,2 -> 1,Piste cyclable,10004_2 -> 1,"[48.858273, 2.349109]",Trottinettes
5,10004,2023-05-18T03:00:00+00:00,E-O,1,[Paris] Rivoli x Nicolas Flamel,4 -> 2,Coronapiste,10004_4 -> 2,"[48.858273, 2.349109]",2 roues motorisées
6,10004,2023-05-18T05:00:00+00:00,E-O,7,[Paris] Rivoli x Nicolas Flamel,2 -> 1,Piste cyclable,10004_2 -> 1,"[48.858273, 2.349109]",Vélos
7,10004,2023-05-18T06:00:00+00:00,O-E,70,[Paris] Rivoli x Nicolas Flamel,1 -> 1,Piste cyclable,10004_1 -> 1,"[48.858273, 2.349109]",Vélos
8,10004,2023-05-18T06:00:00+00:00,E-O,11,[Paris] Rivoli x Nicolas Flamel,5 -> 3,Voie de circulation générale,10004_5 -> 3,"[48.858273, 2.349109]",2 roues motorisées
9,10004,2023-05-18T07:00:00+00:00,E-O,1,[Paris] Rivoli x Nicolas Flamel,5 -> 3,Voie de circulation générale,10004_5 -> 3,"[48.858273, 2.349109]",Trottinettes
10,10004,2023-05-18T11:00:00+00:00,O-E,28,[Paris] Rivoli x Nicolas Flamel,1 -> 1,Piste cyclable,10004_1 -> 1,"[48.858273, 2.349109]",Trottinettes
11,10004,2023-05-18T11:00:00+00:00,E-O,1,[Paris] Rivoli x Nicolas Flamel,5 -> 2,Coronapiste,10004_5 -> 2,"[48.858273, 2.349109]",Trottinettes
12,10004,2023-05-18T12:00:00+00:00,E-O,5,[Paris] Rivoli x Nicolas Flamel,4 -> 3,Voie de circulation générale,10004_4 -> 3,"[48.858273, 2.349109]",Vélos
